design_id,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit,drag_sensitivity
D0001,False,False,q_limit,q_limit;reached_mach_1,gate_failed,optimistic,18.0,1.0,19.0,0.08,0.0,0,300.0,1.231709846728603,2329.079375,9.527238678738653,0.9573028505467166,,,0.886967856121689,50.137384331371095,50.137384331371095,0.05130854074142609,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0001,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,baseline,18.0,1.0,19.0,0.08,0.0,0,300.0,1.231709846728603,2329.079375,43.89724518883389,0.9183073597630903,,,0.4804917083358576,0.009999999999848797,0.009999999999848797,0.05130854074142609,59812.338487141955,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0001,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,0.0,0,300.0,1.231709846728603,2329.079375,34.62871848742515,0.8531462471366074,,,0.5851284132694744,0.010000000000047748,0.010000000000047748,0.05130854074142609,51625.18510660494,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0002,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,3000.0,0,300.0,0.984964053013139,2329.079375,16.848267176384134,1.0,16.848267176384134,0.8467431808614028,0.7852718648045027,27.90254630007732,27.90254630007732,0.07414080246006563,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0002,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,baseline,18.0,1.0,19.0,0.08,3000.0,0,300.0,0.984964053013139,2329.079375,61.785482146961286,0.9366931229848566,,,0.4374893898229343,0.00999999999990564,0.00999999999990564,0.07414080246006563,43066.71008119836,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0002,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,3000.0,0,300.0,0.984964053013139,2329.079375,46.468601816551924,0.868027927558418,,,0.571326114198436,0.009999999999877218,0.009999999999877218,0.07414080246006563,36984.04677329012,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0003,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000.0,0,300.0,0.7746744411347417,2329.079375,17.153156867460126,1.0,17.153156867460126,0.8816292528169462,0.8426186232056402,35.359180460568524,35.359180460568524,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0003,False,False,time_limit,time_limit;reached_mach_1,gate_failed,baseline,18.0,1.0,19.0,0.08,6000.0,0,300.0,0.7746744411347417,2329.079375,120.0,0.9591198034317123,,,0.1768960429401199,0.011228170279338201,0.011228170279338201,0.11010377503256939,30405.197055554945,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0003,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,6000.0,0,300.0,0.7746744411347417,2329.079375,77.58734248567461,0.8847591894282307,,,0.45974014145792935,0.009999999999934062,0.009999999999934062,0.11010377503256939,25873.32657206584,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0004,False,False,q_limit,q_limit;reached_mach_1,gate_failed,optimistic,21.0,1.0,22.0,0.08,0.0,0,300.0,1.0637494130837934,2696.8287499999997,11.073595361659729,0.9573028505467166,,,0.8686229031114591,49.81944064367832,49.81944064367832,0.05940988927954599,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
