force_case_id,design_id,empty_mass_kg,fuel_kg,entry_mass_kg,installation_loss_pct,engine_mass_in_empty_kg,empty_mass_status,optimistic_min_excess_n,optimistic_critical_mach,optimistic_dry_min_excess_n,optimistic_force_pass,baseline_min_excess_n,baseline_critical_mach,baseline_dry_min_excess_n,baseline_force_pass,mach1_thrust_n,mach1_body_n,mach1_wing_tail_n,mach1_baseline_wave_n,pessimistic_min_excess_n,pessimistic_critical_mach,pessimistic_dry_min_excess_n,pessimistic_force_pass
D0027_loss15,D0027,18.0,1.0,19.0,15,5.4,allocation_only_not_verified,-82.90024366009118,1.0,-82.70986485731328,False,-118.3944551363619,1.0,-118.204076333584,False,246.98564669398496,201.64841652884743,27.99810791430815,135.73357738719122,-187.8544141682239,1.0,-187.66403536544595,False
D0027_loss20,D0027,18.0,1.0,19.0,20,5.4,allocation_only_not_verified,-97.42881111267852,1.0,-97.23843230990062,False,-132.92302258894924,1.0,-132.73264378617134,False,232.45707924139762,201.64841652884743,27.99810791430815,135.73357738719122,-202.38298162081125,1.0,-202.1926028180333,False
D0027_loss25,D0027,18.0,1.0,19.0,25,5.4,allocation_only_not_verified,-111.95737856526588,1.0,-111.76699976248798,False,-147.4515900415366,1.0,-147.2612112387587,False,217.92851178881025,201.64841652884743,27.99810791430815,135.73357738719122,-216.91154907339862,1.0,-216.72117027062066,False
D0030_loss15,D0030,21.0,1.0,22.0,15,5.4,allocation_only_not_verified,-83.53312454500156,1.0,-83.31187350393532,False,-119.02733602127222,1.0,-118.80608498020604,False,246.98564669398496,201.64841652884743,28.63098879921852,135.73357738719122,-188.48729505313423,1.0,-188.266044012068,False
D0030_loss20,D0030,21.0,1.0,22.0,20,5.4,allocation_only_not_verified,-98.0616919975889,1.0,-97.84044095652266,False,-133.55590347385956,1.0,-133.33465243279338,False,232.45707924139762,201.64841652884743,28.63098879921852,135.73357738719122,-203.01586250572157,1.0,-202.79461146465533,False
D0030_loss25,D0030,21.0,1.0,22.0,25,5.4,allocation_only_not_verified,-112.59025945017626,1.0,-112.36900840911002,False,-148.08447092644693,1.0,-147.86321988538074,False,217.92851178881025,201.64841652884743,28.63098879921852,135.73357738719122,-217.54442995830894,1.0,-217.3231789172427,False
D0033_loss15,D0033,18.0,3.0,21.0,15,5.4,allocation_only_not_verified,-83.31187350393532,1.0,-82.70986485731328,False,-118.80608498020604,1.0,-118.204076333584,False,246.98564669398496,201.64841652884743,28.409737758152293,135.73357738719122,-188.266044012068,1.0,-187.66403536544595,False
D0033_loss20,D0033,18.0,3.0,21.0,20,5.4,allocation_only_not_verified,-97.84044095652266,1.0,-97.23843230990062,False,-133.33465243279338,1.0,-132.73264378617134,False,232.45707924139762,201.64841652884743,28.409737758152293,135.73357738719122,-202.79461146465533,1.0,-202.1926028180333,False
D0033_loss25,D0033,18.0,3.0,21.0,25,5.4,allocation_only_not_verified,-112.36900840911002,1.0,-111.76699976248798,False,-147.86321988538074,1.0,-147.2612112387587,False,217.92851178881025,201.64841652884743,28.409737758152293,135.73357738719122,-217.3231789172427,1.0,-216.72117027062066,False
D0036_loss15,D0036,21.0,3.0,24.0,15,5.4,allocation_only_not_verified,-84.00649886542232,1.0,-83.31187350393532,False,-119.50071034169298,1.0,-118.80608498020604,False,246.98564669398496,201.64841652884743,29.10436311963928,135.73357738719122,-188.960669373555,1.0,-188.266044012068,False
D0036_loss20,D0036,21.0,3.0,24.0,20,5.4,allocation_only_not_verified,-98.53506631800965,1.0,-97.84044095652266,False,-134.02927779428032,1.0,-133.33465243279338,False,232.45707924139762,201.64841652884743,29.10436311963928,135.73357738719122,-203.48923682614233,1.0,-202.79461146465533,False
D0036_loss25,D0036,21.0,3.0,24.0,25,5.4,allocation_only_not_verified,-113.06363377059702,1.0,-112.36900840911002,False,-148.55784524686769,1.0,-147.86321988538074,False,217.92851178881025,201.64841652884743,29.10436311963928,135.73357738719122,-218.0178042787297,1.0,-217.3231789172427,False
