force_case_id,wave_envelope,force_pass,trajectory_run,gate_pass,endurance_pass,reason,geometry_gate_pass,empty_mass_verified
D0027_loss15,optimistic,False,False,,,negative_force_balance,False,False
D0027_loss15,baseline,False,False,,,negative_force_balance,False,False
D0027_loss15,pessimistic,False,False,,,negative_force_balance,False,False
D0027_loss20,optimistic,False,False,,,negative_force_balance,False,False
D0027_loss20,baseline,False,False,,,negative_force_balance,False,False
D0027_loss20,pessimistic,False,False,,,negative_force_balance,False,False
D0027_loss25,optimistic,False,False,,,negative_force_balance,False,False
D0027_loss25,baseline,False,False,,,negative_force_balance,False,False
D0027_loss25,pessimistic,False,False,,,negative_force_balance,False,False
D0030_loss15,optimistic,False,False,,,negative_force_balance,False,False
D0030_loss15,baseline,False,False,,,negative_force_balance,False,False
D0030_loss15,pessimistic,False,False,,,negative_force_balance,False,False
D0030_loss20,optimistic,False,False,,,negative_force_balance,False,False
D0030_loss20,baseline,False,False,,,negative_force_balance,False,False
D0030_loss20,pessimistic,False,False,,,negative_force_balance,False,False
D0030_loss25,optimistic,False,False,,,negative_force_balance,False,False
D0030_loss25,baseline,False,False,,,negative_force_balance,False,False
D0030_loss25,pessimistic,False,False,,,negative_force_balance,False,False
D0033_loss15,optimistic,False,False,,,negative_force_balance,False,False
D0033_loss15,baseline,False,False,,,negative_force_balance,False,False
D0033_loss15,pessimistic,False,False,,,negative_force_balance,False,False
D0033_loss20,optimistic,False,False,,,negative_force_balance,False,False
D0033_loss20,baseline,False,False,,,negative_force_balance,False,False
D0033_loss20,pessimistic,False,False,,,negative_force_balance,False,False
D0033_loss25,optimistic,False,False,,,negative_force_balance,False,False
D0033_loss25,baseline,False,False,,,negative_force_balance,False,False
D0033_loss25,pessimistic,False,False,,,negative_force_balance,False,False
D0036_loss15,optimistic,False,False,,,negative_force_balance,False,False
D0036_loss15,baseline,False,False,,,negative_force_balance,False,False
D0036_loss15,pessimistic,False,False,,,negative_force_balance,False,False
D0036_loss20,optimistic,False,False,,,negative_force_balance,False,False
D0036_loss20,baseline,False,False,,,negative_force_balance,False,False
D0036_loss20,pessimistic,False,False,,,negative_force_balance,False,False
D0036_loss25,optimistic,False,False,,,negative_force_balance,False,False
D0036_loss25,baseline,False,False,,,negative_force_balance,False,False
D0036_loss25,pessimistic,False,False,,,negative_force_balance,False,False
