case_id,design_id,drag_area_model,total_installation_loss_pct,installed_factor,fixed_body_fraction,wing_loading_kg_m2,full_gate_entry_min_excess_n,full_gate_dry_bound_min_excess_n,mach1_entry_cd,mach1_entry_drag_area_m2,mach1_thrust_n,level_hold_attempted,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit
D0027_optimistic_original_wing_scaled_loss15,D0027,original_wing_scaled,15,0.85,0.0,237.5,170.05555186413102,170.24593066690892,0.03758559892651406,0.0030068479141211247,269.438887302529,True,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.5493488822694834,2329.079375,5.601554495872317,1.0,5.601554495872317,0.9224836726152379,0.8887109700549574,170.07067726273613,170.07067726273613,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_optimistic_fixed_body_50pct_loss15,D0027,fixed_body_50pct,15,0.85,0.5,237.5,147.92501885693133,148.11539765970923,0.04595510407513294,0.003676408326010635,269.438887302529,True,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.5493488822694834,2329.079375,6.012596995961594,1.0,6.012596995961594,0.9168306386499491,0.8763907868906579,147.94124488648382,147.94124488648382,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_baseline_original_wing_scaled_loss15,D0027,original_wing_scaled,15,0.85,0.0,237.5,108.35210102956918,108.54247983234708,0.06092111232239153,0.004873688985791323,269.438887302529,True,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000,0.0,600,1.5493488822694834,2329.079375,7.060511829870925,1.0,7.060511829870925,0.9024373886805426,0.8498631524417517,108.3711279026952,108.3711279026952,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_baseline_fixed_body_50pct_loss15,D0027,fixed_body_50pct,15,0.85,0.5,237.5,71.14401943474607,71.334398237524,0.07499276754989065,0.005999421403991252,269.438887302529,True,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000,0.0,600,1.5493488822694834,2329.079375,8.554813703085504,1.0,8.554813703085504,0.8819500428239095,0.8161999260364209,71.16702935047869,71.16702935047869,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_pessimistic_original_wing_scaled_loss15,D0027,original_wing_scaled,15,0.85,0.0,237.5,19.75180072360746,19.94217952638536,0.09442869523233233,0.007554295618586586,269.438887302529,True,True,True,target_reached,,hold_complete,pessimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.5493488822694834,2329.079375,14.637151074733657,1.0,14.637151074733657,0.7987950256473023,0.6824991146511709,19.79093285798004,19.79093285798004,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_pessimistic_fixed_body_50pct_loss15,D0027,fixed_body_50pct,15,0.85,0.5,237.5,-39.14193711968329,-38.951558316905334,0.11670160849386445,0.009336128679509156,269.438887302529,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.5493488822694834,2329.079375,73.0136960068585,0.9656231659097139,,,0.0,0.01238500945026999,0.01238500945026999,0.11010377503256939,30818.923050394238,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
D0027_optimistic_original_wing_scaled_loss20,D0027,original_wing_scaled,20,0.8,0.0,237.5,154.20620555221757,154.39658435499547,0.03758559892651406,0.0030068479141211247,253.58954099061555,True,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.4582107127242196,2329.079375,6.0710172463830165,1.0,6.0710172463830165,0.915995950624668,0.8800454370116212,154.22259406548505,154.22259406548505,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_optimistic_fixed_body_50pct_loss20,D0027,fixed_body_50pct,20,0.8,0.5,237.5,132.07567254501788,132.26605134779578,0.04595510407513294,0.003676408326010635,253.58954099061555,True,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.4582107127242196,2329.079375,6.562560633934651,1.0,6.562560633934651,0.9092373576854385,0.8661375316429597,132.09337644900359,132.09337644900359,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_baseline_original_wing_scaled_loss20,D0027,original_wing_scaled,20,0.8,0.0,237.5,92.50275471765573,92.69313352043363,0.06092111232239153,0.004873688985791323,253.58954099061555,True,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000,0.0,600,1.4582107127242196,2329.079375,7.861962568185418,1.0,7.861962568185418,0.8913962471309506,0.8350118000292418,92.52392868840894,92.52392868840894,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_baseline_fixed_body_50pct_loss20,D0027,fixed_body_50pct,20,0.8,0.5,237.5,55.29467312283262,55.48505192561055,0.07499276754989065,0.005999421403991252,253.58954099061555,True,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000,0.0,600,1.4582107127242196,2329.079375,9.87357005218538,1.0,9.87357005218538,0.8638352680630423,0.7916272716899793,55.321201220312474,55.321201220312474,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
